model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,n_min,compliant
deepseek/deepseek-v3.2:off,modchain,4,XC,0.375,inf,0.325,700,40,0.625
moonshotai/kimi-k2.6:off,perm,2,XB,0.225,inf,0.275,700,40,0.9928571428571429
moonshotai/kimi-k2.6:off,perm,2,XC,0.225,inf,0.15,700,40,0.8607142857142858
moonshotai/kimi-k2.6:off,perm,3,XB,0.075,inf,0.075,700,40,0.9892857142857142
moonshotai/kimi-k2.6:off,perm,3,XC,0.075,inf,0.275,700,40,0.8607142857142858
moonshotai/kimi-k2.6:off,lookup,2,XB,0.6,inf,0.425,700,40,1.0
moonshotai/kimi-k2.6:off,lookup,2,XC,0.6,inf,0.5,700,40,0.8357142857142856
moonshotai/kimi-k2.6:off,lookup,3,XB,0.3,inf,0.375,700,40,1.0
moonshotai/kimi-k2.6:off,lookup,3,XC,0.3,inf,0.275,700,40,0.8035714285714286
moonshotai/kimi-k2.6:off,modchain,3,XB,0.425,inf,0.45,700,40,0.9964285714285713
moonshotai/kimi-k2.6:off,modchain,3,XC,0.425,inf,0.525,700,40,0.8571428571428571
moonshotai/kimi-k2.6:off,modchain,4,XB,0.325,inf,0.3,700,40,0.9964285714285713
moonshotai/kimi-k2.6:off,modchain,4,XC,0.325,inf,0.25,700,40,0.8571428571428571
google/gemini-2.5-flash:off,perm,2,XB,0.15,inf,0.5,700,40,1.0
google/gemini-2.5-flash:off,perm,2,XC,0.15,700.0,0.575,700,40,0.7428571428571429
google/gemini-2.5-flash:off,perm,3,XB,0.35,inf,0.05,700,40,1.0
google/gemini-2.5-flash:off,perm,3,XC,0.35,inf,0.15,700,40,0.7571428571428572
google/gemini-2.5-flash:off,lookup,2,XB,0.75,inf,0.85,700,40,1.0
google/gemini-2.5-flash:off,lookup,2,XC,0.75,140.0,0.875,700,40,0.7499999999999999
google/gemini-2.5-flash:off,lookup,3,XB,0.35,inf,0.225,700,40,1.0
google/gemini-2.5-flash:off,lookup,3,XC,0.35,inf,0.375,700,40,0.7392857142857144
google/gemini-2.5-flash:off,modchain,3,XB,0.225,inf,0.45,700,40,1.0
google/gemini-2.5-flash:off,modchain,3,XC,0.225,inf,0.325,700,40,0.8321428571428572
google/gemini-2.5-flash:off,modchain,4,XB,0.275,inf,0.3,700,40,1.0
google/gemini-2.5-flash:off,modchain,4,XC,0.275,inf,0.2,700,40,0.8107142857142857
